regime,pkg,rep,h,est,se
varmiss,sa,13,1,2.503174739294927,.0965626157750791
varmiss,sa,13,2,3.06777676738858,.1018369312494617
varmiss,csdid,14,0,2.112004207143079,.1041255123383075
varmiss,csdid,14,1,2.616326487419462,.1062176035998982
varmiss,csdid,14,2,2.937303179191523,.1072137556847654
varmiss,jwdid,14,0,1.837048202240651,.067149509153864
varmiss,jwdid,14,1,2.557341831617391,.076256112320928
varmiss,jwdid,14,2,3.112239718125752,.0765653540279201
varmiss,jwdid_uc,14,0,1.837048202240643,.0767747498232895
varmiss,jwdid_uc,14,1,2.557341831617373,.0857322207137859
varmiss,jwdid_uc,14,2,3.112239718125744,.0831999082194783
varmiss,bjs,14,0,1.830318800625719,.0687769343903525
varmiss,bjs,14,1,2.53094877823969,.077872773242436
varmiss,bjs,14,2,3.105068109392732,.0771546768978376
varmiss,bjs_wtr,14,0,2.033261868119553,.0722071275767056
varmiss,bjs_wtr,14,1,2.469204567063571,.0797530806647402
varmiss,bjs_wtr,14,2,2.909939493473303,.080019532582292
varmiss,dcdh,14,0,1.655953046567476,.0887132382221865
varmiss,dcdh,14,1,2.300673636417073,.1186957217825019
varmiss,dcdh,14,2,2.793692899917217,.1255857716066999
varmiss,lpdid,14,0,1.571165429341783,.0923499711458932
varmiss,lpdid,14,1,2.152522437501624,.1398761197456928
varmiss,lpdid,14,2,2.800603263279268,.1451736235780416
varmiss,lpdid_rw,14,0,1.655952453926822,.0935368226424524
varmiss,lpdid_rw,14,1,2.242940592012215,.1417352422736454
varmiss,lpdid_rw,14,2,2.60775136441327,.1481275992665764
varmiss,sa,14,0,1.79698506796382,.0840773366323261
varmiss,sa,14,1,2.559538496797799,.0915883636324833
varmiss,sa,14,2,3.151936621438357,.096543158381429
varmiss,csdid,15,0,2.00115671070326,.103772242644195
varmiss,csdid,15,1,2.407526066204812,.1122755190674672
varmiss,csdid,15,2,2.99287035835124,.1112740387845571
varmiss,jwdid,15,0,1.856942223411469,.0700804295002594
varmiss,jwdid,15,1,2.560728439656793,.0762290985816235
varmiss,jwdid,15,2,3.263678423765922,.0796807938552141
varmiss,jwdid_uc,15,0,1.856942223411477,.0788703158003716
varmiss,jwdid_uc,15,1,2.560728439656799,.0851924843072332
varmiss,jwdid_uc,15,2,3.263678423765917,.0880559619549954
varmiss,bjs,15,0,1.868448586977593,.0730421233875824
varmiss,bjs,15,1,2.546288979312521,.079087033534647
varmiss,bjs,15,2,3.245546917033153,.080776573894515
varmiss,bjs_wtr,15,0,2.053119364003805,.0755139952770718
varmiss,bjs_wtr,15,1,2.472129178335308,.0798069126878778
varmiss,bjs_wtr,15,2,2.986328034880898,.0843466085382866
varmiss,dcdh,15,0,1.743583950657841,.0992943217102039
varmiss,dcdh,15,1,2.357767318062171,.1250309574277073
varmiss,dcdh,15,2,2.950296928317429,.1374408072313671
varmiss,lpdid,15,0,1.662632481046199,.1038554771318292
varmiss,lpdid,15,1,2.266451732517933,.1440088134146792
varmiss,lpdid,15,2,2.97425454660176,.1636964102750555
varmiss,lpdid_rw,15,0,1.743584255639871,.1047223380213955
varmiss,lpdid_rw,15,1,2.401350356771792,.1489012515847971
varmiss,lpdid_rw,15,2,2.855950532594068,.1678186961531138
varmiss,sa,15,0,1.895885130042602,.0869787565471922
varmiss,sa,15,1,2.566792583038279,.0929545588641963
varmiss,sa,15,2,3.266884971370389,.1042403679020527
varmiss,csdid,16,0,2.030759501520918,.1055554331077102
varmiss,csdid,16,1,2.534913949820926,.1105969033616002
varmiss,csdid,16,2,3.069406851907355,.1114433141220646
varmiss,jwdid,16,0,1.852806235911494,.0708057317111002
varmiss,jwdid,16,1,2.5678041606445,.0792527809684895
varmiss,jwdid,16,2,3.316540603177356,.0768535866466143
varmiss,jwdid_uc,16,0,1.852806235911487,.0818575008427041
varmiss,jwdid_uc,16,1,2.567804160644474,.0886767858999513
varmiss,jwdid_uc,16,2,3.316540603177343,.0840447488060634
varmiss,bjs,16,0,1.859452429962403,.0727145763956526
varmiss,bjs,16,1,2.550534792109829,.0809324613674933
varmiss,bjs,16,2,3.340879696454067,.0780225576933881
varmiss,bjs_wtr,16,0,2.076685088868544,.0762711812987179
varmiss,bjs_wtr,16,1,2.534393954978441,.0811652695831766
varmiss,bjs_wtr,16,2,3.086833611316251,.0820980579917875
varmiss,dcdh,16,0,1.677973391686229,.0940467913321699
varmiss,dcdh,16,1,2.278651891076338,.134431365222279
varmiss,dcdh,16,2,3.085149884124921,.1322195842761054
varmiss,lpdid,16,0,1.535894502262942,.0969278257487737
varmiss,lpdid,16,1,2.212935330181316,.1519668492213287
varmiss,lpdid,16,2,3.038228816113898,.1553103852087082
varmiss,lpdid_rw,16,0,1.677974115598316,.1008202644488728
varmiss,lpdid_rw,16,1,2.365650010766972,.1538123762378299
varmiss,lpdid_rw,16,2,2.889600796541575,.1591258331887293
varmiss,sa,16,0,1.871343365988439,.0894869553087627
varmiss,sa,16,1,2.58118379523339,.0966617679423801
varmiss,sa,16,2,3.369273328198869,.1032537429829064
varmiss,csdid,17,0,1.954384657019594,.1024697906111792
varmiss,csdid,17,1,2.482917514833775,.1110938680624714
varmiss,csdid,17,2,3.085741204441357,.1012167937157829
varmiss,jwdid,17,0,1.858519422468694,.0692592562888367
varmiss,jwdid,17,1,2.568464786155818,.07765661063865
varmiss,jwdid,17,2,3.317828414293531,.0771467108689989
varmiss,jwdid_uc,17,0,1.858519422468693,.0820492896787802
varmiss,jwdid_uc,17,1,2.568464786155817,.0887536233844085
varmiss,jwdid_uc,17,2,3.317828414293525,.084795959821926
varmiss,bjs,17,0,1.879702457265012,.0716142326846332
varmiss,bjs,17,1,2.571563182784303,.0792724886326262
varmiss,bjs,17,2,3.306846111914638,.0783405200392609
varmiss,bjs_wtr,17,0,2.048445841121065,.0740988164228859
