design,campaign,tree,cell,seconds
cell-design,r11,base,pdr,1.946
cell-design,r11,base,unbal,1.014
cell-design,r11,base,rcs,1.938
inproc-50,r11,base,reg,.551
inproc-50,r11,base,dr,1.69
scale-400k,r11,head,panel_reg_analytic,.422
scale-400k,r11,head,panel_dr_cov,.8200000000000001
scale-400k,r11,head,panel_reg_cluster,.4719999999999999
scale-400k,r11,head,rcs_reg,1.205
scale-400k,r11,head,unbal_reg_none,.413
scale-400k,r11,head,panel_reg_wboot,.5460000000000002
cell-design,r11,head,fast,.625
cell-design,r11,head,preg,1.054
cell-design,r11,head,pdr,1.948
cell-design,r11,head,unbal,1.005
cell-design,r11,head,rcs,1.904
inproc-50,r11,head,reg,.55
inproc-50,r11,head,dr,1.726
scale-400k,r11,s2,panel_reg_analytic,.419
scale-400k,r11,s2,panel_dr_cov,.8280000000000001
scale-400k,r11,s2,panel_reg_cluster,.468
scale-400k,r11,s2,rcs_reg,1.207
scale-400k,r11,s2,unbal_reg_none,.422
scale-400k,r11,s2,panel_reg_wboot,.5429999999999999
cell-design,r11,s2,fast,.622
cell-design,r11,s2,preg,1.045
cell-design,r11,s2,pdr,1.939
cell-design,r11,s2,unbal,1.002
cell-design,r11,s2,rcs,1.894
inproc-50,r11,s2,reg,.555
inproc-50,r11,s2,dr,1.709
scale-400k,r12,base,panel_reg_analytic,.421
scale-400k,r12,base,panel_dr_cov,.835
scale-400k,r12,base,panel_reg_cluster,.473
scale-400k,r12,base,rcs_reg,1.352
scale-400k,r12,base,unbal_reg_none,.419
scale-400k,r12,base,panel_reg_wboot,.5479999999999999
cell-design,r12,base,fast,.62
cell-design,r12,base,preg,1.047
cell-design,r12,base,pdr,1.945
cell-design,r12,base,unbal,.999
cell-design,r12,base,rcs,1.929
inproc-50,r12,base,reg,.5529999999999999
inproc-50,r12,base,dr,1.702
scale-400k,r12,s2,panel_reg_analytic,.417
scale-400k,r12,s2,panel_dr_cov,.8280000000000001
scale-400k,r12,s2,panel_reg_cluster,.472
scale-400k,r12,s2,rcs_reg,1.21
scale-400k,r12,s2,unbal_reg_none,.41
scale-400k,r12,s2,panel_reg_wboot,.5439999999999999
cell-design,r12,s2,fast,.621
cell-design,r12,s2,preg,1.05
cell-design,r12,s2,pdr,1.927
cell-design,r12,s2,unbal,1.007
cell-design,r12,s2,rcs,1.91
inproc-50,r12,s2,reg,.555
inproc-50,r12,s2,dr,1.729
scale-400k,r12,head,panel_reg_analytic,.42
scale-400k,r12,head,panel_dr_cov,.8240000000000001
scale-400k,r12,head,panel_reg_cluster,.4660000000000001
scale-400k,r12,head,rcs_reg,1.202
scale-400k,r12,head,unbal_reg_none,.424
scale-400k,r12,head,panel_reg_wboot,.553
cell-design,r12,head,fast,.619
cell-design,r12,head,preg,1.045
cell-design,r12,head,pdr,1.939
cell-design,r12,head,unbal,1.007
cell-design,r12,head,rcs,1.889
