scan,n_units,T,cohorts,rows,pkg,median_seconds,trials,ok,note
D_cohorts,10000,20,18,200000,csdid,0.5190,10,1,H=5; G_real=14; nevertreated=26.3%; cov=none; min=0.4470; max=0.7260; agg=0.0410
D_cohorts,10000,20,18,200000,jwdid,12.9520,10,1,H=5; G_real=14; nevertreated=26.3%; cov=none; min=12.2040; max=14.5860; agg=5.7150
D_cohorts,10000,20,18,200000,did_imputation,6.9435,10,1,H=5; G_real=14; nevertreated=26.3%; cov=none; min=5.9150; max=13.8180; ; N=181089; autosample requested; nothing dropped
D_cohorts,10000,20,18,200000,lpdid,2.1415,10,1,H=5; G_real=14; nevertreated=26.3%; cov=none; min=2.0600; max=2.2150
D_cohorts,10000,20,18,200000,eventstudyinteract,114.5130,10,1,H=5; G_real=14; nevertreated=26.3%; cov=none; min=112.5080; max=116.1890; never-treated control cohort (the command takes no not-yet-treated option); dummy build timed
D_cohorts,10000,20,18,200000,did_multiplegt_dyn,12.5595,10,1,H=5; G_real=14; nevertreated=26.3%; cov=none; min=12.2810; max=17.4990
D_cohorts,10000,20,18,200000,xthdid,95.2230,10,1,H=5; G_real=14; nevertreated=26.3%; cov=none; min=90.3800; max=103.1010; agg=0.3710; Stata 19.5 native; arm=ra; vce(cluster) as in every column; cohort derived by the command
F_n,1000,10,4,10000,csdid_200,0.0330,7,1,H=5; G_real=4; nevertreated=18.8%; scheme=balanced; cov=x; min=0.0320; max=0.0530; 2.0 method(dr) analytical agg(event) clustered; pinned nevertreated base_period(varying)
F_n,1000,10,4,10000,csdid_182,2.0390,7,1,H=5; G_real=4; nevertreated=18.8%; scheme=balanced; cov=x; min=1.9030; max=2.4010; 1.82 method(dripw) agg(event) clustered; analytical is its default
F_n,5000,10,4,50000,csdid_200,0.1370,7,1,H=5; G_real=4; nevertreated=19.3%; scheme=balanced; cov=x; min=0.1220; max=0.1580; 2.0 method(dr) analytical agg(event) clustered; pinned nevertreated base_period(varying)
F_n,5000,10,4,50000,csdid_182,6.1730,5,1,H=5; G_real=4; nevertreated=19.3%; scheme=balanced; cov=x; min=5.8510; max=6.6100; 1.82 method(dripw) agg(event) clustered; analytical is its default
F_n,20000,10,4,200000,csdid_200,0.3810,7,1,H=5; G_real=4; nevertreated=19.9%; scheme=balanced; cov=x; min=0.3340; max=0.4020; 2.0 method(dr) analytical agg(event) clustered; pinned nevertreated base_period(varying)
F_n,20000,10,4,200000,csdid_182,25.1240,3,1,H=5; G_real=4; nevertreated=19.9%; scheme=balanced; cov=x; min=24.6470; max=26.4640; 1.82 method(dripw) agg(event) clustered; analytical is its default
F_n,50000,10,4,500000,csdid_200,0.8040,7,1,H=5; G_real=4; nevertreated=20.1%; scheme=balanced; cov=x; min=0.7690; max=1.0090; 2.0 method(dr) analytical agg(event) clustered; pinned nevertreated base_period(varying)
